timestamp,temperature_C,wind_speed_mps,solar_radiation_Wm2,air_pressure_Pa
2022-01-01 00:00:00,9.0,1.19,0.0,99.47
2022-01-01 01:00:00,8.4,1.22,0.0,99.47
2022-01-01 02:00:00,7.85,1.34,0.0,99.45
2022-01-01 03:00:00,7.2,1.69,0.0,99.43
2022-01-01 04:00:00,6.14,2.13,0.0,99.44
2022-01-01 05:00:00,5.73,2.25,0.0,99.49
2022-01-01 06:00:00,6.31,1.91,0.0,99.51
2022-01-01 07:00:00,7.97,1.16,76.7,99.53
2022-01-01 08:00:00,10.24,0.44,216.48,99.57
2022-01-01 09:00:00,12.57,0.21,380.85,99.61
2022-01-01 10:00:00,17.2,0.41,519.67,99.59
2022-01-01 11:00:00,19.08,0.85,516.35,99.52
2022-01-01 12:00:00,19.77,1.21,506.95,99.42
2022-01-01 13:00:00,19.97,1.5,437.25,99.35
2022-01-01 14:00:00,19.58,1.7,344.25,99.3
2022-01-01 15:00:00,18.41,1.54,189.12,99.29
2022-01-01 16:00:00,15.36,1.62,39.9,99.28
2022-01-01 17:00:00,13.55,1.84,0.0,99.31
2022-01-01 18:00:00,12.75,1.87,0.0,99.36
2022-01-01 19:00:00,12.14,1.84,0.0,99.39
2022-01-01 20:00:00,11.75,1.74,0.0,99.41
2022-01-01 21:00:00,11.55,1.53,0.0,99.43
2022-01-01 22:00:00,11.17,1.3,0.0,99.42
2022-01-01 23:00:00,10.44,1.22,0.0,99.39
2022-01-02 00:00:00,9.99,1.17,0.0,99.35
2022-01-02 01:00:00,9.48,1.14,0.0,99.3
2022-01-02 02:00:00,9.46,0.96,0.0,99.27
2022-01-02 03:00:00,9.52,0.78,0.0,99.25
2022-01-02 04:00:00,8.88,1.01,0.0,99.28
2022-01-02 05:00:00,8.33,1.37,0.0,99.32
2022-01-02 06:00:00,7.66,1.76,0.0,99.39
2022-01-02 07:00:00,8.32,1.78,58.88,99.44
2022-01-02 08:00:00,11.07,2.06,200.77,99.49
2022-01-02 09:00:00,13.39,1.37,325.2,99.52
2022-01-02 10:00:00,17.66,1.46,433.52,99.47
2022-01-02 11:00:00,19.82,1.81,461.65,99.36
2022-01-02 12:00:00,20.65,1.77,437.62,99.22
2022-01-02 13:00:00,20.91,1.7,441.02,99.12
2022-01-02 14:00:00,20.77,1.94,293.48,99.07
2022-01-02 15:00:00,19.73,1.91,181.4,99.07
2022-01-02 16:00:00,16.37,1.85,35.62,99.1
2022-01-02 17:00:00,13.8,2.39,0.0,99.16
2022-01-02 18:00:00,12.44,2.63,0.0,99.24
2022-01-02 19:00:00,11.59,2.61,0.0,99.29
2022-01-02 20:00:00,10.87,2.59,0.0,99.29
2022-01-02 21:00:00,10.4,2.47,0.0,99.28
2022-01-02 22:00:00,10.12,2.23,0.0,99.24
2022-01-02 23:00:00,9.59,2.14,0.0,99.22
2022-01-03 00:00:00,9.32,1.93,0.0,99.21
2022-01-03 01:00:00,9.45,1.54,0.0,99.18
2022-01-03 02:00:00,9.42,1.25,0.0,99.15
2022-01-03 03:00:00,9.32,1.18,0.0,99.1
2022-01-03 04:00:00,8.58,1.39,0.0,99.1
2022-01-03 05:00:00,8.29,1.47,0.0,99.13
2022-01-03 06:00:00,8.39,1.31,0.0,99.15
2022-01-03 07:00:00,8.58,1.4,68.18,99.2
2022-01-03 08:00:00,10.48,1.92,214.15,99.26
2022-01-03 09:00:00,13.41,1.8,379.55,99.31
2022-01-03 10:00:00,18.1,1.6,494.2,99.25
2022-01-03 11:00:00,20.31,1.32,497.58,99.12
2022-01-03 12:00:00,21.23,1.23,496.73,98.99
2022-01-03 13:00:00,21.65,1.53,446.7,98.91
2022-01-03 14:00:00,21.44,1.93,334.83,98.88
2022-01-03 15:00:00,20.45,1.83,178.6,98.88
2022-01-03 16:00:00,17.41,1.77,41.7,98.9
2022-01-03 17:00:00,15.55,1.91,0.0,98.94
2022-01-03 18:00:00,14.97,1.76,0.0,98.99
2022-01-03 19:00:00,14.45,1.53,0.0,99.05
2022-01-03 20:00:00,13.85,1.31,0.0,99.11
2022-01-03 21:00:00,13.94,1.1,0.0,99.14
2022-01-03 22:00:00,13.54,0.87,0.0,99.14
2022-01-03 23:00:00,12.94,0.75,0.0,99.11
2022-01-04 00:00:00,12.32,0.92,0.0,99.07
2022-01-04 01:00:00,12.01,0.69,0.0,99.04
2022-01-04 02:00:00,11.57,0.65,0.0,99.04
2022-01-04 03:00:00,11.08,0.9,0.0,99.02
2022-01-04 04:00:00,10.99,0.67,0.0,99.0
2022-01-04 05:00:00,10.93,0.31,0.0,99.0
2022-01-04 06:00:00,10.99,0.23,0.0,99.04
2022-01-04 07:00:00,11.05,0.78,68.28,99.11
2022-01-04 08:00:00,12.96,1.35,201.45,99.2
2022-01-04 09:00:00,15.36,0.85,319.95,99.22
2022-01-04 10:00:00,19.95,0.81,424.8,99.18
2022-01-04 11:00:00,22.58,0.68,488.0,99.08
2022-01-04 12:00:00,23.67,0.61,475.95,98.96
2022-01-04 13:00:00,23.97,0.74,343.58,98.85
2022-01-04 14:00:00,23.78,1.07,257.48,98.77
2022-01-04 15:00:00,22.65,1.3,145.65,98.76
2022-01-04 16:00:00,18.9,2.11,36.3,98.79
2022-01-04 17:00:00,16.29,2.86,0.0,98.86
2022-01-04 18:00:00,15.25,3.2,0.0,98.94
2022-01-04 19:00:00,14.93,3.27,0.0,98.98
2022-01-04 20:00:00,14.2,3.12,0.0,99.04
2022-01-04 21:00:00,13.99,3.03,0.0,99.04
2022-01-04 22:00:00,13.67,2.82,0.0,99.03
2022-01-04 23:00:00,13.32,2.78,0.0,98.99
2022-01-05 00:00:00,13.0,2.71,0.0,98.95
2022-01-05 01:00:00,12.7,2.82,0.0,98.92
2022-01-05 02:00:00,12.41,2.94,0.0,98.85
2022-01-05 03:00:00,12.02,2.79,0.0,98.81
2022-01-05 04:00:00,11.73,2.48,0.0,98.81
2022-01-05 05:00:00,11.79,2.02,0.0,98.88
2022-01-05 06:00:00,11.72,1.6,0.0,98.97
2022-01-05 07:00:00,12.01,1.13,16.98,99.04
2022-01-05 08:00:00,12.68,1.0,54.85,99.08
2022-01-05 09:00:00,12.96,1.61,60.55,99.1
2022-01-05 10:00:00,13.75,2.2,107.0,99.06
2022-01-05 11:00:00,14.34,2.4,145.7,98.98
2022-01-05 12:00:00,14.47,2.91,147.88,98.88
2022-01-05 13:00:00,14.23,3.44,98.4,98.82
2022-01-05 14:00:00,13.86,3.84,76.95,98.79
2022-01-05 15:00:00,13.47,4.4,22.25,98.73
2022-01-05 16:00:00,13.02,4.69,21.48,98.7
2022-01-05 17:00:00,12.29,3.64,0.0,98.81
2022-01-05 18:00:00,11.7,3.53,0.0,98.93
2022-01-05 19:00:00,11.61,4.9,0.0,98.93
2022-01-05 20:00:00,11.67,5.34,0.0,98.93
2022-01-05 21:00:00,11.66,5.27,0.0,98.94
2022-01-05 22:00:00,11.33,4.68,0.0,98.91
2022-01-05 23:00:00,10.95,4.04,0.0,98.88
2022-01-06 00:00:00,10.28,3.52,0.0,98.85
2022-01-06 01:00:00,9.98,3.5,0.0,98.83
2022-01-06 02:00:00,10.13,3.73,0.0,98.82
2022-01-06 03:00:00,10.28,3.71,0.0,98.8
2022-01-06 04:00:00,10.49,3.78,0.0,98.83
2022-01-06 05:00:00,10.62,3.85,0.0,98.89
2022-01-06 06:00:00,10.64,3.95,0.0,98.96
2022-01-06 07:00:00,11.12,4.49,42.53,99.04
2022-01-06 08:00:00,12.47,5.42,163.9,99.11
2022-01-06 09:00:00,14.47,5.89,279.8,99.15
2022-01-06 10:00:00,16.58,6.01,403.4,99.1
2022-01-06 11:00:00,18.15,5.77,407.62,98.97
2022-01-06 12:00:00,19.06,5.59,383.38,98.83
2022-01-06 13:00:00,19.22,5.43,245.05,98.72
2022-01-06 14:00:00,18.75,5.17,169.9,98.72
2022-01-06 15:00:00,17.66,4.88,86.97,98.75
2022-01-06 16:00:00,16.05,3.69,28.55,98.77
2022-01-06 17:00:00,14.05,2.96,0.0,98.8
2022-01-06 18:00:00,13.57,3.27,0.0,98.88
2022-01-06 19:00:00,13.22,3.51,0.0,98.94
2022-01-06 20:00:00,13.07,3.93,0.0,98.98
2022-01-06 21:00:00,12.66,4.07,0.0,98.98
2022-01-06 22:00:00,12.08,3.97,0.0,98.95
2022-01-06 23:00:00,11.54,3.69,0.0,98.92
2022-01-07 00:00:00,11.31,3.76,0.0,98.89
2022-01-07 01:00:00,11.39,4.17,0.0,98.87
2022-01-07 02:00:00,11.28,3.78,0.0,98.82
2022-01-07 03:00:00,11.03,3.39,0.0,98.79
2022-01-07 04:00:00,10.82,3.4,0.0,98.79
2022-01-07 05:00:00,10.95,3.78,0.0,98.85
2022-01-07 06:00:00,11.09,3.85,0.0,98.93
2022-01-07 07:00:00,11.75,4.52,24.48,98.99
2022-01-07 08:00:00,13.17,4.77,67.68,99.05
2022-01-07 09:00:00,15.05,5.37,127.9,99.11
2022-01-07 10:00:00,16.68,5.65,191.85,99.09
2022-01-07 11:00:00,18.24,5.55,280.9,99.0
2022-01-07 12:00:00,19.85,5.22,228.52,98.87
2022-01-07 13:00:00,20.5,4.96,215.57,98.77
2022-01-07 14:00:00,20.42,4.93,150.12,98.71
2022-01-07 15:00:00,19.52,4.7,79.88,98.69
2022-01-07 16:00:00,17.8,3.58,32.08,98.72
2022-01-07 17:00:00,16.22,3.57,0.0,98.78
2022-01-07 18:00:00,15.71,4.27,0.0,98.85
2022-01-07 19:00:00,15.3,4.69,0.0,98.89
2022-01-07 20:00:00,15.0,5.07,0.0,98.9
2022-01-07 21:00:00,14.67,5.6,0.0,98.89
2022-01-07 22:00:00,14.43,6.05,0.0,98.86
2022-01-07 23:00:00,13.74,5.17,0.0,98.81
2022-01-08 00:00:00,13.47,5.17,0.0,98.77
2022-01-08 01:00:00,13.45,5.74,0.0,98.73
2022-01-08 02:00:00,13.34,5.68,0.0,98.66
2022-01-08 03:00:00,13.15,5.22,0.0,98.63
2022-01-08 04:00:00,12.95,5.0,0.0,98.66
2022-01-08 05:00:00,12.83,4.94,0.0,98.7
2022-01-08 06:00:00,12.83,5.13,0.0,98.76
